drive	layout_category	hf_repo	revision	size_gib	path
d2	raw	google/gemma-4-26B-A4B	64143b04706fadeb2f8ac198f7ecab57b94b1e0b	48.098	/mnt/models/d2/raw/google/gemma-4-26B-A4B/64143b04706fadeb2f8ac198f7ecab57b94b1e0b
d2	raw	google/gemma-4-26B-A4B	latest	48.098	/mnt/models/d2/raw/google/gemma-4-26B-A4B/latest
d2	raw	google/gemma-4-26B-A4B-it	47b6801b24d15ff9bcd8c96dfaea0be9ed3a0301	48.098	/mnt/models/d2/raw/google/gemma-4-26B-A4B-it/47b6801b24d15ff9bcd8c96dfaea0be9ed3a0301
d2	raw	google/gemma-4-26B-A4B-it	latest	48.098	/mnt/models/d2/raw/google/gemma-4-26B-A4B-it/latest
d2	uncensored	huihui-ai/DeepSeek-R1-Distill-Llama-70B-abliterated	116ff0fa55425b094a38a6bbf6faf2f5cafea335	131.433	/mnt/models/d2/uncensored/huihui-ai/DeepSeek-R1-Distill-Llama-70B-abliterated/116ff0fa55425b094a38a6bbf6faf2f5cafea335
d2	uncensored	huihui-ai/DeepSeek-R1-Distill-Llama-70B-abliterated	latest	131.433	/mnt/models/d2/uncensored/huihui-ai/DeepSeek-R1-Distill-Llama-70B-abliterated/latest
d2	uncensored	huihui-ai/DeepSeek-R1-Distill-Qwen-32B-abliterated	939b7e288235a393e2aac8a16ddc3d48f9406f03	61.038	/mnt/models/d2/uncensored/huihui-ai/DeepSeek-R1-Distill-Qwen-32B-abliterated/939b7e288235a393e2aac8a16ddc3d48f9406f03
d2	uncensored	huihui-ai/DeepSeek-R1-Distill-Qwen-32B-abliterated	latest	61.038	/mnt/models/d2/uncensored/huihui-ai/DeepSeek-R1-Distill-Qwen-32B-abliterated/latest
d2	uncensored	huihui-ai/Llama-3.3-70B-Instruct-abliterated	fa13334669544bab573e0e5313cad629a9c02e2c	131.433	/mnt/models/d2/uncensored/huihui-ai/Llama-3.3-70B-Instruct-abliterated/fa13334669544bab573e0e5313cad629a9c02e2c
d2	uncensored	huihui-ai/Llama-3.3-70B-Instruct-abliterated	latest	131.433	/mnt/models/d2/uncensored/huihui-ai/Llama-3.3-70B-Instruct-abliterated/latest
